Zipcode,admin_name1,Lat,Long,accuracy
142044,Punjab,31.1033,74.9978,4
142046,Punjab,31.1033,74.9978,
142047,Punjab,31.1033,74.9978,
142048,Punjab,31.1033,74.9978,
142050,Punjab,30.85,74.9333,4
142051,Punjab,30.5278,75.1167,
142052,Punjab,30.5278,75.1167,
142053,Punjab,30.75,75.3333,4
142055,Punjab,30.5278,75.1167,
142056,Punjab,30.5278,75.1167,
142057,Punjab,30.5278,75.1167,
142059,Punjab,30.5278,75.1167,
142061,Punjab,30.7457,75.2044,
143001,Punjab,31.6331,74.8656,
143002,Punjab,31.6331,74.8656,4
143003,Punjab,31.6331,74.8656,
143004,Punjab,31.6331,74.8656,
143006,Punjab,31.6331,74.8656,4
143036,Punjab,31.6331,74.8656,
143101,Punjab,31.7192,74.7978,4
143102,Punjab,31.8425,74.7589,4
143103,Punjab,31.8528,74.8183,4
143104,Punjab,31.6331,74.8656,4
143105,Punjab,31.7428,74.8681,
143106,Punjab,31.7428,74.8681,
143107,Punjab,31.7428,74.8681,
143108,Punjab,31.7428,74.8681,
143109,Punjab,31.6667,75.1,4
143110,Punjab,31.4974,75.0883,
143111,Punjab,31.4974,75.0883,
143112,Punjab,31.4974,75.0883,
143113,Punjab,31.4974,75.0883,
143115,Punjab,31.5614,75.0267,4
143116,Punjab,31.4974,75.0883,
143117,Punjab,31.4974,75.0883,
143118,Punjab,31.4333,75.15,4
143144,Punjab,31.6727,74.931,
143202,Punjab,31.555,75.2656,4
143204,Punjab,31.5689,75.2744,
143205,Punjab,31.5828,75.2833,4
143301,Punjab,31.3947,74.6169,
143304,Punjab,31.3947,74.6169,
143305,Punjab,31.3947,74.6169,4
143401,Punjab,31.2745,74.7722,
143406,Punjab,31.2745,74.7722,
143407,Punjab,31.2745,74.7722,
143408,Punjab,31.2745,74.7722,
143410,Punjab,31.2834,74.7797,
143411,Punjab,31.2834,74.7797,
143412,Punjab,31.1669,74.9481,4
143414,Punjab,31.5,74.6667,4
143415,Punjab,31.3267,74.8597,4
143416,Punjab,31.2808,74.8572,4
143417,Punjab,31.2834,74.7797,
143418,Punjab,31.2834,74.7797,
143419,Punjab,31.1428,74.5667,4
143420,Punjab,31.23,74.7347,
143421,Punjab,31.23,74.7347,4
143501,Punjab,31.6664,74.9325,4
143502,Punjab,31.7161,75.0328,4
143504,Punjab,31.7586,75.067,
143505,Punjab,31.7586,75.067,
143506,Punjab,31.8186,75.2028,4
143507,Punjab,31.8333,75.1,4
143508,Punjab,31.7586,75.067,
143510,Punjab,31.886,75.3556,
143512,Punjab,31.886,75.3556,
143513,Punjab,31.886,75.3556,
143514,Punjab,31.886,75.3556,
143515,Punjab,31.9542,75.3192,4
143516,Punjab,31.8178,75.3919,4
143518,Punjab,31.886,75.3556,
143521,Punjab,31.8453,75.4496,
143523,Punjab,31.8453,75.4496,
143524,Punjab,31.8453,75.4496,
143526,Punjab,31.8453,75.4496,
143527,Punjab,31.7833,75.45,4
143528,Punjab,31.9072,75.4492,4
143529,Punjab,31.8453,75.4496,
143530,Punjab,31.8121,75.2348,
143531,Punjab,31.8121,75.2348,
143533,Punjab,31.8121,75.2348,
